21,
100,
99,23
96,248
97,56
90,49
85,756
86,867
91,99
91,882
92,984
92,609
88,47
90,645
94,606
94,991
98,215
102,381
105,314
106,294
111,207
111,187
109,93
105,571
108,566
116,64
123,74
129,869
133,594
136,245
138,664
131,783
138,789
139,771
131,657
131,52
135,167
134,192
134,904
144,407
148,572
149,476
151,756
157,715
149,433
143,236
146,412
150,386
127,755
123,824
123,764
127,707
122,649
128,73
118,276
112,317
111,241
99,922
90,36
94,494
94,773
95,622
118,242
133,968
129,945
139,446
137,482
128,86
124,145
126,968
121,18
130,93
134,532
137,602
143,77
141,131
137,53
136,3
129,914
129,798
127,612
125,107
121,937
113,137
118,352
128,831
129,904
131,276
132,456
137,554
136,82
138,746
136,858
143,218
149,593
153,603
151,271
159,646
159,662
159,526
165,275
163,88
167,388
168,871
182,45
188,691
196,744
206,346
188,596
198,441
199,666
203,579
216,977
220,237
209,482
215,947
219,536
226,515
238,339
217,278
226,626
227,555
239,175
242,443
208,151
229,617
236,78
253,327
257,449
260,35
264,663
274,331
271,238
260,612
250,869
248,846
254,
251,713
231,854
226,678
220,589
227,132
206,102
214,564
241,106
233,382
237,139
228,166
227,694
234,955
234,983
216,278
221,9
222,522
227,773
230,764
234,654
246,673
247,317
257,126
270,293
292,583
289,806
295,21
291,384
285,306
290,509
290,561
299,372
301,868
314,262
324,47
332,3
327,66
303,905
303,49
283,668
307,811
303,329
304,153
303,404
305,68
319,887
306,674
342,213
352,186
370,689
375,201
410,709
431,912
439,17
488,89
526,445
549,576
560,252
627,26
678,554
741,857
676,512
706,225
700,429
778,945
729,859
734,565
774,172
793,923
829,268
859,169
901,918
937,532
932,621
959,51
992,75
1000,649
1007,488
816,27
780,67
826,442
792,867
839,857
863,329
879,744
863,664
855,28
857,521
818,924
863,767
944,157
956,156
961,583
996,801
985,836
993,338
1021,275
969,341
1009,663
1128,896
1115,159
1134,732
1060,745
1120,32
1241,13
1238,134
1208,924
1226,459
1194,363
1292,98
1337,987
1394,914
1257,84
1109,568
1203,647
1216,245
1199,201
1240,116
1349,164
1259,21
1246,467
1283,761
1176,45
1258,455
1281,897
1320,846
1293,591
1263,71
1363,15
1363,153
1368,996
1321,586
1395,36
1474,995
1448,75
1396,924
1392,982
1370,545
1275,468
1275,371
1305,148
1307,858
1323,317
1391,891
1423,103
1438,91
1418,358
1423,676
1549,7
1544,737
1609,559
1575,277
1694,5
1780,738
1718,156
1670,33
1739,7
1666,267
1649,313
1736,296
1791,915
1721,422
1796,995
1728,719
1739,11
1726,79
1765,803
1848,422
1908,216
1947,967
1967,32
2070,275
1990,924
2051,777
2042,808
2058,44
2123,981
2138,558
2178,253
2205,57
2221,755
2239,669
2265,91
2237,504
2304,691
2353,959
2409,394
2532,265
2582,97
2589,844
2624,809
2710,368
2697,661
2813,653
2955,202
3094,426
2918,375
3202,159
3045,503
3093,85
3206,913
3341,196
3603,264
3860,769
3936,587
4017,288
4062,229
4143,418
3623,204
3479,332
3758,854
3959,825
4133,953
4108,297
4005,21
4049,741
4171,406
3972,59
4040,95
4078,654
4121,113
4090,387
4241,926
4357,32
4804,895
4463,617
4697,367
4811,832
4600,418
4563,84
4662,918
4589,453
4536,469
4325,74
4293,254
4128,16
4413,641
4415,918
4028,497
3729,287
3997,647
3807,214
3665,46
3674,579
3579,836
3222,643
3324,848
3458,373
3546,982
3361,993
3361,437
3544,68
3520,562
3514,63
3393,516
3016,277
3016,468
2619,713
2873,56
3014,194
2905,187
2768,42
2677,779
2639,297
2999,523
3197,639
3230,506
3296,792
3291,39
3358,47
3582,932
3735,513
4042,324
4089,993
4210,34
4080,448
4051,549
4122,723
4179,824
4065,444
4068,508
4231,777
4384,742
4707,426
4906,914
4816,48
5058,78
4932,258
4815,35
4838,957
4907,609
5086,793
5163,777
5289,227
5123,137
5210,844
5394,289
5747,293
5752,41
5978,668
6290,602
6127,938
6150,84
6245,633
6444,156
6499,656
6779,7
7021,934
7247,574
7291,188
7265,324
7531,84
8028,47
8183,934
8185,238
8012,113
7924,777
8326,313
8715,504
8438,465
8290,813
7426,809
7547,648
7581,727
7938,547
7994,113
7300,55
7091,117
6812,902
5786,438
4557,43
4247,168
4470,449
3977,115
3574,843
3824,317
4366,879
4908,648
4814,391
5320,922
5657,512
5920,668
5852,309
6024,305
6116,82
5755,277
5641,32
6011,35
5855,895
5155,621
5118,957
5715,766
5506,359
6112,47
6377,305
5895,418
6390,609
6643,793
6863,973
6809,863
7365,9
7138,316
7003,758
6768,74
6090,82
5423,758
6080,598
5808,445
5719,398
5989,7
6370,805
6337,555
6203,656
5455,371
5890,824
5958,23
6221,637
6407,55
6500,926
6670,613
6859,242
7262,16
